#Orgánico,Funcional,Económico,R,Denominación Aplicación,Crédito Inicial 2026,Crédito Definitivo 2026,Obligado
0181,2361,22604,,Estrategia antirumor,45000.0,45000.0,0.0
0181,2361,22608,,Programa de sensibilización,80000.0,80000.0,13084.56
0181,2361,22610,,Ciudad educadora,27000.0,27000.0,0.0
0181,2361,22613,,Traduccion e interpretacion,46000.0,46000.0,6891.95
0181,2361,22613,R,Traduccion e interpretacion,0.0,0.4,0.0
0181,2361,22614,,Preparación actos 50 aniversario 3 de marzo,25000.0,25000.0,0.0
0181,2361,22621,,Servicio de acogida,100000.0,100000.0,0.0
0181,2361,22621,R,Servicio de acogida,0.0,67986.77,27194.71
0181,2361,22639,,Dinamización plan de accesibilidad,43000.0,43000.0,0.0
0181,2361,22642,,Plan de convivencia y diversidad,130000.0,130000.0,5721.53
0181,2361,41910,,Conv. red vasca antirrumores,5000.0,5000.0,0.0
0181,2361,41910,R,Conv. red vasca antirrumores,0.0,1000.0,0.0
0181,2361,48128,,Convenio arabako gorrak,22000.0,22000.0,0.0
0181,2361,48128,R,Convenio arabako gorrak,0.0,4400.0,4400.0
0181,2361,48901,,Convocatoria general de subvenciones,80000.0,80000.0,0.0
0181,2361,48901,R,Convocatoria general de subvenciones,0.0,12867.97,0.0
0181,2361,48970,,Conv.asoc.eginaren eginez,30000.0,30000.0,0.0
0181,2361,48970,R,Conv.asoc.eginaren eginez,0.0,6000.0,6000.0
0181,2361,48983,,Convenio goian,207000.0,207000.0,0.0
0181,2361,48983,R,Convenio goian,0.0,36000.0,0.0
0181,2361,48986,,Fundación memorial 3 de marzo,25000.0,25000.0,0.0
0209,1701,12000,,Retribuciones basicas de funcionarios,34446.0,34446.0,6195.33
0209,1701,12100,,Retribuciones complementarias funcionarios,56480.0,56480.0,15148.33
0209,1701,12105,,Retribuciones consecuc.objetivos,1112.0,1112.0,0.0
0209,1701,16000,,Seguridad social a cargo del ayuntamiento,16671.0,16671.0,4111.23
0209,1701,16500,,Cuotas elkarkidetza a cargo ayuntamiento,1779.0,1779.0,372.03
0210,1502,12000,,Retribuciones basicas de funcionarios,31382.0,31382.0,5553.97
0210,1502,12100,,Retribuciones complementarias funcionarios,60727.0,60727.0,16592.63
0210,1502,12105,,Retribuciones consecuc.objetivos,1112.0,1112.0,0.0
0210,1502,14100,,Otro personal,34555.0,34555.0,597.37
0210,1502,16000,,Seguridad social a cargo del ayuntamiento,28683.0,28683.0,4498.75
0210,1502,16500,,Cuotas elkarkidetza a cargo ayuntamiento,1779.0,1779.0,372.03
0210,1502,22004,,Edicion y reproduccion de cartografia y proyectos,2000.0,2000.0,0.0
0210,1502,22111,,Menaje,2000.0,2000.0,196.75
0210,1502,22205,,"Reuniones,conferencias y congresos",15000.0,15000.0,298.57
0210,1502,22641,,Suscripciones,2000.0,2000.0,0.0
0210,1502,22707,,Asistencias técnicas,4000.0,4000.0,0.0
0210,1502,22707,R,Asistencias técnicas,0.0,11797.5,11797.5
