#Organikoa,Funtzionala,Ekonomikoa,R,Aplikazioaren izena,2026ko Hasierako kreditua,2026ko Behin-betiko kreditua,Obligado ,i,j,k
0181,2361,48128,R,Hitzarmena: Arabako gorrak,0.0,4400.0,4400.0,,,
0181,2361,48901,,Dirulaguntza deialdi orokorra,80000.0,80000.0,0.0,,,
0181,2361,48901,R,Dirulaguntza deialdi orokorra,0.0,12867.97,0.0,,,
0181,2361,48970,,Hitzarmena: Eginaren Eginez elkartea,30000.0,30000.0,0.0,,,
0181,2361,48970,R,Hitzarmena: Eginaren Eginez elkartea,0.0,6000.0,6000.0,,,
0181,2361,48983,,Hitzarmena: Goian,207000.0,207000.0,0.0,,,
0181,2361,48983,R,Hitzarmena: Goian,0.0,36000.0,0.0,,,
0181,2361,48986,,Martxoaren 3aren memorialaren fundazioa,25000.0,25000.0,0.0,,,
0209,1701,12000,,Funtzionarioen oinarrizko ordainsariak,34446.0,34446.0,6195.33,,,
0209,1701,12100,,Funtzionarioen ordainsari osagarriak,56480.0,56480.0,15148.33,,,
0209,1701,12105,,Helburuak lortu izanagatiko ordainsariak,1112.0,1112.0,0.0,,,
0209,1701,16000,,"Gizarte Segurantza, enpresaren kontura",16671.0,16671.0,4111.23,,,
0209,1701,16500,,"Elkarkidetzako kuotak, Udalaren kontura",1779.0,1779.0,372.03,,,
0210,1502,12000,,Funtzionarioen oinarrizko ordainsariak,31382.0,31382.0,5553.97,,,
0210,1502,12100,,Funtzionarioen ordainsari osagarriak,60727.0,60727.0,16592.63,,,
0210,1502,12105,,Helburuak lortu izanagatiko ordainsariak,1112.0,1112.0,0.0,,,
0210,1502,14100,,Otro personal,34555.0,34555.0,597.37,,,
0210,1502,16000,,"Gizarte Segurantza, enpresaren kontura",28683.0,28683.0,4498.75,,,
0210,1502,16500,,"Elkarkidetzako kuotak, Udalaren kontura",1779.0,1779.0,372.03,,,
0210,1502,22004,,Kartografia eta proiektuak editatu eta erreproduzitzea,2000.0,2000.0,0.0,,,
0210,1502,22111,,Tresnak,2000.0,2000.0,196.75,,,
0210,1502,22205,,"Bilerak, hitzaldiak eta biltzarrak",15000.0,15000.0,298.57,,,
0210,1502,22641,,HARPIDETZAK,2000.0,2000.0,0.0,,,
0210,1502,22707,,Laguntza teknikoak,4000.0,4000.0,0.0,,,
0210,1502,22707,R,Laguntza teknikoak,0.0,11797.5,11797.5,,,
0210,1502,23901,,Kalte-ordainak desjabetzeetako epaimahaiei,1000.0,1000.0,0.0,,,
0210,1502,62633,,Teknologia berrien aplikazioa,50000.0,50000.0,0.0,,,
0211,1511,12000,,Funtzionarioen oinarrizko ordainsariak,293879.0,293879.0,70673.16,,,
0211,1511,12100,,Funtzionarioen ordainsari osagarriak,369969.0,369969.0,125519.51,,,
0211,1511,12105,,Helburuak lortu izanagatiko ordainsariak,9454.0,9454.0,0.0,,,
0211,1511,14100,,Bestelako langileak,83122.0,83122.0,82505.85,,,
